age,sex,cause,year,location,BG.mx.all,ALL.mx,BG.mx,PREVt0,DIS.mx.t0,Nx,cause_id,age_group,age_mid,population,all_cause_mx,all_cause_deaths,cause_fraction_raw,cause_fraction,selected_fraction_sum_raw,fraction_adjustment_factor,incidence_rate,prevalence_rate,cause_name,gbd_cause_name,cause_mx,cause_deaths,incident_cases,prevalent_cases,epidemiology_source,scaling_source,incidence_available,incidence_data_status,prevalence_available,prevalence_data_status,IR,CF,pop,check_well,check_sick,newcases,covid.mx
61,Male,ihd,2018,Indonesia,0.0114960685995211,0.0227179667404181,0.0185887637512876,0.0646286256807313,0.0041292029891305,975106.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00506773181959033,0.0496986008519871,975106.5,,,0,0
47,Female,hhd,2011,Indonesia,0.00320258590390609,0.00526575185167479,0.00516318346912859,0.0010017777224655,0.000102568382546192,1506478.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000188020931816013,0.109003832166158,1506478.5,,,0,0
95,Female,ihd,2020,Indonesia,0.124546523172113,0.206286921085328,0.179492903376233,0.117713163032827,0.026794017709095,16259,,,,,,,,,,,,,,,,,,,,,,,,,0.0164589934633869,0.258266803835632,16259,,,0,0.0485685088110731
82,Female,hhd,2011,Indonesia,0.0328513869248681,0.0641767347627817,0.061805768685543,0.0249838670131873,0.00237096607723876,161031,,,,,,,,,,,,,,,,,,,,,,,,,0.00260925458534831,0.0831272142221341,161031,,,0,0
52,Female,hhd,2047,Indonesia,0.0031202387341233,0.00703434392235635,0.00686246451730976,0.0013736834179044,0.000171879405046586,1590457,,,,,,,,,,,,,,,,,,,,,,,,,0.000234659793928632,0.132625588131476,1590457,,,0,0
93,Male,dm2,2000,Indonesia,0.132681618520859,0.223679182019639,0.217089078419629,0.0724932450618469,0.00659010360000965,2563.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0101321701915195,0.0410031288306908,2563.5,,,0,0
65,Female,cmd,2028,Indonesia,0.00832960281870279,0.0171923906166177,0.0171572871204192,0.0002589077476419,3.51034961984832e-05,847791.5,,,,,,,,,,,,,,,,,,,,,,,,,6.44377543328316e-05,0.132238183204774,847791.5,,,0,0
86,Female,ihd,2048,Indonesia,0.0405457481635918,0.0780022436905919,0.0681771710215663,0.115925046954271,0.00982507266902557,109253,,,,,,,,,,,,,,,,,,,,,,,,,0.0136009496246834,0.0637095338501812,109253,,,0,0
38,Female,hhd,2023,Indonesia,0.00174529075429882,0.00259979698692072,0.00256633877936631,0.00036957853723248,3.3458207554406e-05,2053111,,,,,,,,,,,,,,,,,,,,,,,,,5.99036532656809e-05,0.0577910081386104,2053111,,,0,0
59,Male,hstroke,2038,Indonesia,0.00897469901405263,0.0189756280306464,0.0160137239601956,0.00903478224967534,0.00296190407045079,1150757,,,,,,,,,,,,,,,,,,,,,,,,,0.00262617213106484,0.46221121549526,1150757,,,0,0
